entry_date,title,artist,peak,peak_date,weeks_top_ten,year,spotify_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
December 29,"""Whole Lotta Lovin""",Fats Domino,6,January 12,5,1959,spotify:track:6pS2nLsZBUOrMaFMPvFVwM,0.648,0.814,5.0,-8.044,0.0,0.0384,0.639,0.00501,0.241,0.927,92.43,audio_features,6pS2nLsZBUOrMaFMPvFVwM,spotify:track:6pS2nLsZBUOrMaFMPvFVwM,https://api.spotify.com/v1/tracks/6pS2nLsZBUOrMaFMPvFVwM,https://api.spotify.com/v1/audio-analysis/6pS2nLsZBUOrMaFMPvFVwM,100480.0,4.0
January 5,"""My Happiness""",Connie Francis,2,January 19,7,1959,spotify:track:3Caxz7mxX1pTWlxCYH1aV3,0.468,0.346,10.0,-7.382,1.0,0.0299,0.843,1.84e-06,0.13,0.298,108.853,audio_features,3Caxz7mxX1pTWlxCYH1aV3,spotify:track:3Caxz7mxX1pTWlxCYH1aV3,https://api.spotify.com/v1/tracks/3Caxz7mxX1pTWlxCYH1aV3,https://api.spotify.com/v1/audio-analysis/3Caxz7mxX1pTWlxCYH1aV3,148253.0,4.0
January 5,"""Gotta Travel On""",Billy Grammer,4,January 12,7,1959,spotify:track:3HynxUWKnm7rtzjVkyXoHu,0.568,0.512,3.0,-12.223,1.0,0.0764,0.822,1.14e-05,0.0941,0.892,177.144,audio_features,3HynxUWKnm7rtzjVkyXoHu,spotify:track:3HynxUWKnm7rtzjVkyXoHu,https://api.spotify.com/v1/tracks/3HynxUWKnm7rtzjVkyXoHu,https://api.spotify.com/v1/audio-analysis/3HynxUWKnm7rtzjVkyXoHu,150493.0,4.0
January 19,"""Donna""",Ritchie Valens,2,February 23,10,1959,spotify:track:0VE4ayVlGs5DBoqOdgJ0Zv,0.472,0.225,5.0,-12.581,1.0,0.0263,0.864,0.0,0.111,0.29,100.299,audio_features,0VE4ayVlGs5DBoqOdgJ0Zv,spotify:track:0VE4ayVlGs5DBoqOdgJ0Zv,https://api.spotify.com/v1/tracks/0VE4ayVlGs5DBoqOdgJ0Zv,https://api.spotify.com/v1/audio-analysis/0VE4ayVlGs5DBoqOdgJ0Zv,150973.0,3.0
January 19,"""16 Candles""",The Crests,2,February 9,8,1959,spotify:track:7u4cRwR5sdV874GRRLWXp7,0.548,0.332,10.0,-13.075,1.0,0.0285,0.824,0.0,0.302,0.653,114.671,audio_features,7u4cRwR5sdV874GRRLWXp7,spotify:track:7u4cRwR5sdV874GRRLWXp7,https://api.spotify.com/v1/tracks/7u4cRwR5sdV874GRRLWXp7,https://api.spotify.com/v1/audio-analysis/7u4cRwR5sdV874GRRLWXp7,172266.0,3.0
January 19,"""Stagger Lee""",Lloyd Price,1,February 9,10,1959,spotify:track:7qoaMWT3eRCKG1RN6dVuOY,0.439,0.638,3.0,-6.859,1.0,0.0307,0.707,0.0,0.175,0.781,69.57,audio_features,7qoaMWT3eRCKG1RN6dVuOY,spotify:track:7qoaMWT3eRCKG1RN6dVuOY,https://api.spotify.com/v1/tracks/7qoaMWT3eRCKG1RN6dVuOY,https://api.spotify.com/v1/audio-analysis/7qoaMWT3eRCKG1RN6dVuOY,144627.0,4.0
January 26,"""Lonely Teardrops""",Jackie Wilson,7,February 9,5,1959,spotify:track:6TYR3IVgIwDK6ydc2EPEQq,0.524,0.478,7.0,-8.894,1.0,0.118,0.406,0.0,0.74,0.843,137.133,audio_features,6TYR3IVgIwDK6ydc2EPEQq,spotify:track:6TYR3IVgIwDK6ydc2EPEQq,https://api.spotify.com/v1/tracks/6TYR3IVgIwDK6ydc2EPEQq,https://api.spotify.com/v1/audio-analysis/6TYR3IVgIwDK6ydc2EPEQq,166213.0,4.0
January 26,"""Goodbye Baby""",Jack Scott,8,February 16,4,1959,spotify:track:16HL6HBaqUhWBaxcHMrZEF,0.694,0.547,9.0,-12.623,1.0,0.0291,0.91,0.0555,0.0996,0.764,130.222,audio_features,16HL6HBaqUhWBaxcHMrZEF,spotify:track:16HL6HBaqUhWBaxcHMrZEF,https://api.spotify.com/v1/tracks/16HL6HBaqUhWBaxcHMrZEF,https://api.spotify.com/v1/audio-analysis/16HL6HBaqUhWBaxcHMrZEF,129333.0,4.0
February 2,"""The All American Boy""",Bill Parsons,2,February 2,5,1959,spotify:track:2JXQ9QIe9TaaHpCt0mORyO,0.488,0.778,4.0,-8.331,1.0,0.0733,0.721,0.0,0.338,0.938,149.963,audio_features,2JXQ9QIe9TaaHpCt0mORyO,spotify:track:2JXQ9QIe9TaaHpCt0mORyO,https://api.spotify.com/v1/tracks/2JXQ9QIe9TaaHpCt0mORyO,https://api.spotify.com/v1/audio-analysis/2JXQ9QIe9TaaHpCt0mORyO,182267.0,4.0
February 9,"""Manhattan Spiritual""",Reg Owen Orchestra,10,February 9,2,1959,spotify:track:4czc4aXc73sl57rHja2F7z,0.679,0.935,4.0,-3.532,1.0,0.15,0.719,0.916,0.0678,0.73,99.081,audio_features,4czc4aXc73sl57rHja2F7z,spotify:track:4czc4aXc73sl57rHja2F7z,https://api.spotify.com/v1/tracks/4czc4aXc73sl57rHja2F7z,https://api.spotify.com/v1/audio-analysis/4czc4aXc73sl57rHja2F7z,153995.0,4.0
