id,name,link
0YVv87qcsb4f9Qh2D6rgfJ,Top Singles: 2003 - 2004,https://open.spotify.com/playlist/0YVv87qcsb4f9Qh2D6rgfJ
5Jj6ZOuAU4xJEPKRjlWU70,Top Singles: 2004 - 2005,https://open.spotify.com/playlist/5Jj6ZOuAU4xJEPKRjlWU70
0L4yIpqxP92bUj05tmua1L,Top Singles: 2005 - 2006,https://open.spotify.com/playlist/0L4yIpqxP92bUj05tmua1L
5lQznJhSbXOu2mmc8NcvP3,Top Singles: 2006 - 2007,https://open.spotify.com/playlist/5lQznJhSbXOu2mmc8NcvP3
0HxtINWjkKpABNDTCQ2yK4,Top Singles: 2007 - 2008,https://open.spotify.com/playlist/0HxtINWjkKpABNDTCQ2yK4
228nM4R4jnSB1LqTkqdplj,Top Singles: 2008 - 2009,https://open.spotify.com/playlist/228nM4R4jnSB1LqTkqdplj
5RG7ycUhi8iHDML3cbNgnD,Top Singles: 2009 - 2010,https://open.spotify.com/playlist/5RG7ycUhi8iHDML3cbNgnD
75FnNKX3ht2HhZoEuR3h5D,Top Singles: 2010 - 2011,https://open.spotify.com/playlist/75FnNKX3ht2HhZoEuR3h5D
4Tc6nJUYxUM6UfI3YKT6vS,Top Singles: 2011 - 2012,https://open.spotify.com/playlist/4Tc6nJUYxUM6UfI3YKT6vS
3BKNK1AOGcN7pUShzl5Ywo,Top Singles: 2012 - 2013,https://open.spotify.com/playlist/3BKNK1AOGcN7pUShzl5Ywo
1EKIK83A0hv0SlBpowvheQ,Top Singles: 2013 - 2014,https://open.spotify.com/playlist/1EKIK83A0hv0SlBpowvheQ
0u57EkBUzvYEva7mcCby2y,Top Singles: 2014 - 2015,https://open.spotify.com/playlist/0u57EkBUzvYEva7mcCby2y
7vaoVYKigwzlrBbwvBEkYv,Top Singles: 2015 - 2016,https://open.spotify.com/playlist/7vaoVYKigwzlrBbwvBEkYv
6fHw6XXpUfjIAmEobi4gBM,Top Singles: 2016 - 2017,https://open.spotify.com/playlist/6fHw6XXpUfjIAmEobi4gBM
3atj7ZBTHw5mzmFq2tHITD,Top Singles: 2017 - 2018,https://open.spotify.com/playlist/3atj7ZBTHw5mzmFq2tHITD
0jU2gU4zowMyBqoFnnf2du,Top Singles: 2018 - 2019,https://open.spotify.com/playlist/0jU2gU4zowMyBqoFnnf2du
2vy7kxampZt1hRjI3PkDkx,Top Singles: 2019 - 2020,https://open.spotify.com/playlist/2vy7kxampZt1hRjI3PkDkx
1sGiUOiO8lRa4YcINzUGd0,Top Singles: 2020 - 2021,https://open.spotify.com/playlist/1sGiUOiO8lRa4YcINzUGd0
377Ck83vyZPpg7iPaYXNP6,Top Singles: 2021 - 2022,https://open.spotify.com/playlist/377Ck83vyZPpg7iPaYXNP6
61rHIPbHeoYbFQdgGeyIhM,Top Singles: 1958 - 1960,https://open.spotify.com/playlist/61rHIPbHeoYbFQdgGeyIhM
3eTLOjiKQqylGgDuTjCc9G,Top Singles: 1959 - 1961,https://open.spotify.com/playlist/3eTLOjiKQqylGgDuTjCc9G
20T9SHdG1TbGN3Kpz1WAvD,Top Singles: 1960 - 1962,https://open.spotify.com/playlist/20T9SHdG1TbGN3Kpz1WAvD
5N4CeaykWCcQdzSqJOzpEZ,Top Singles: 1961 - 1963,https://open.spotify.com/playlist/5N4CeaykWCcQdzSqJOzpEZ
5gNdW0kJNYlfRZNB4SIJi6,Top Singles: 1962 - 1964,https://open.spotify.com/playlist/5gNdW0kJNYlfRZNB4SIJi6
3eAA9WmS3SXxFm5wRQvfWA,Top Singles: 1963 - 1965,https://open.spotify.com/playlist/3eAA9WmS3SXxFm5wRQvfWA
5QGsZAkdiVUvxoCZAEJwmC,Top Singles: 1964 - 1966,https://open.spotify.com/playlist/5QGsZAkdiVUvxoCZAEJwmC
1LKJ8v143nctkSbWYepcwW,Top Singles: 1965 - 1967,https://open.spotify.com/playlist/1LKJ8v143nctkSbWYepcwW
7vqLrQXRehDIuKuSLEQX65,Top Singles: 1966 - 1968,https://open.spotify.com/playlist/7vqLrQXRehDIuKuSLEQX65
7fyFb4lhbV12hSFW6MePUd,Top Singles: 1967 - 1969,https://open.spotify.com/playlist/7fyFb4lhbV12hSFW6MePUd
6kW3WrXCCAwJtx8jfen2xi,Top Singles: 1968 - 1970,https://open.spotify.com/playlist/6kW3WrXCCAwJtx8jfen2xi
5gJSi3AS86VahH200qGm7W,Top Singles: 1969 - 1971,https://open.spotify.com/playlist/5gJSi3AS86VahH200qGm7W
5Ii05cDgnNJumXFYyla1FM,Top Singles: 1970 - 1972,https://open.spotify.com/playlist/5Ii05cDgnNJumXFYyla1FM
0yShwFdjXPKwrDwE84dGyh,Top Singles: 1971 - 1973,https://open.spotify.com/playlist/0yShwFdjXPKwrDwE84dGyh
2b35iaR1AbIZ9I1kMwCRfz,Top Singles: 1972 - 1974,https://open.spotify.com/playlist/2b35iaR1AbIZ9I1kMwCRfz
0SQM1ECPLNSvyZkJTnYafC,Top Singles: 1973 - 1975,https://open.spotify.com/playlist/0SQM1ECPLNSvyZkJTnYafC
7HnujE17cV718boObfSV68,Top Singles: 1974 - 1976,https://open.spotify.com/playlist/7HnujE17cV718boObfSV68
5tvj4nz0y7XV8F80CMTWj6,Top Singles: 1975 - 1977,https://open.spotify.com/playlist/5tvj4nz0y7XV8F80CMTWj6
1vyZZeZKwRMGti2vKEDt9V,Top Singles: 1976 - 1978,https://open.spotify.com/playlist/1vyZZeZKwRMGti2vKEDt9V
3ia3raGJs3OlTbjgBOS1Wx,Top Singles: 1977 - 1979,https://open.spotify.com/playlist/3ia3raGJs3OlTbjgBOS1Wx
15l4z9B3BfTX1vkrbfiLdS,Top Singles: 1978 - 1980,https://open.spotify.com/playlist/15l4z9B3BfTX1vkrbfiLdS
72f3PefYcu3RKReFqCUUc5,Top Singles: 1979 - 1981,https://open.spotify.com/playlist/72f3PefYcu3RKReFqCUUc5
35HeUEynNzoIb5eqOVi2nr,Top Singles: 1980 - 1982,https://open.spotify.com/playlist/35HeUEynNzoIb5eqOVi2nr
6JgxVsc5Qk98s74nB15EQh,Top Singles: 1981 - 1983,https://open.spotify.com/playlist/6JgxVsc5Qk98s74nB15EQh
7FOaIhW46pbT18qhuwW6k2,Top Singles: 1982 - 1984,https://open.spotify.com/playlist/7FOaIhW46pbT18qhuwW6k2
6h9010l3hLE0ksBe7XKS2h,Top Singles: 1983 - 1985,https://open.spotify.com/playlist/6h9010l3hLE0ksBe7XKS2h
